,Unnamed: 0.1,Unnamed: 0,Date,weekday,month,fox,bear,wolf,count,hour
0,0,0,2010-06-02,2,6,8,8,0,16,8
1,1,8,2010-06-03,3,6,0,30,0,30,1
2,2,23,2010-06-04,4,6,0,10,0,10,9
3,3,28,2010-06-05,5,6,0,14,0,14,10
4,4,35,2010-06-06,6,6,0,8,0,8,1
5,5,39,2010-06-07,0,6,16,18,0,34,8
6,6,56,2010-06-08,1,6,16,22,0,38,0
7,7,75,2010-06-09,2,6,12,16,0,28,10
8,8,89,2010-06-10,2,6,0,4,0,4,21
9,9,91,2010-06-11,4,6,16,10,24,50,10
10,10,116,2010-06-12,5,6,22,24,34,80,11
11,11,156,2010-06-13,6,6,18,10,38,66,11
12,12,189,2010-06-14,0,6,6,16,2,24,9
13,13,201,2010-06-15,1,6,20,22,6,48,11
14,14,225,2010-06-16,2,6,26,2,60,88,11
15,15,269,2010-06-17,3,6,2,18,46,66,11
16,16,302,2010-06-18,4,6,4,78,64,146,11
17,17,375,2010-06-19,5,6,10,66,50,126,11
18,18,438,2010-06-20,6,6,40,60,114,214,11
19,19,545,2010-06-21,0,6,60,114,74,248,11
20,20,669,2010-06-22,1,6,32,196,74,302,11
21,21,820,2010-06-23,2,6,34,130,80,244,11
22,22,942,2010-06-24,3,6,38,146,176,360,11
23,23,1122,2010-06-25,4,6,58,130,250,438,11
24,24,1341,2010-06-26,5,6,126,464,268,858,11
25,25,1770,2010-06-27,6,6,116,242,98,456,11
26,26,1998,2010-06-28,0,6,112,394,74,580,11
27,27,2288,2010-06-29,1,6,190,406,214,810,11
28,28,2693,2010-06-30,2,6,256,588,306,1150,11
29,29,3268,2010-07-01,3,7,442,664,250,1356,11
30,30,3946,2010-07-02,4,7,470,660,380,1510,11
31,31,4701,2010-07-03,5,7,426,694,434,1554,11
32,32,5478,2010-07-04,6,7,496,674,242,1412,11
33,33,6184,2010-07-05,0,7,498,494,258,1250,11
34,34,6809,2010-07-06,1,7,780,668,350,1798,11
35,35,7708,2010-07-07,2,7,698,590,678,1966,11
36,36,8691,2010-07-08,3,7,574,838,536,1948,11
37,37,9665,2010-07-09,4,7,738,620,504,1862,11
38,38,10596,2010-07-10,5,7,586,464,658,1708,11
39,39,11450,2010-07-11,6,7,450,460,486,1396,11
40,40,12148,2010-07-12,0,7,492,540,274,1306,11
41,41,12801,2010-07-13,1,7,644,442,504,1590,11
42,42,13596,2010-07-14,2,7,786,868,728,2382,11
43,43,14787,2010-07-15,3,7,674,948,350,1972,11
44,44,15773,2010-07-16,4,7,834,722,204,1760,11
45,45,16653,2010-07-17,5,7,834,680,358,1872,11
46,46,17589,2010-07-18,6,7,464,558,210,1232,11
47,47,18205,2010-07-19,0,7,656,842,110,1608,11
48,48,19009,2010-07-20,1,7,636,746,210,1592,11
49,49,19805,2010-07-21,2,7,598,466,326,1390,11
50,50,20500,2010-07-22,3,7,588,572,448,1608,11
51,51,21304,2010-07-23,4,7,496,500,408,1404,11
52,52,22006,2010-07-24,5,7,608,674,250,1532,11
53,53,22772,2010-07-25,6,7,416,528,358,1302,11
54,54,23423,2010-07-26,0,7,552,636,354,1542,11
55,55,24194,2010-07-27,1,7,870,732,420,2022,11
56,56,25205,2010-07-28,2,7,554,526,672,1752,11
57,57,26081,2010-07-29,3,7,560,562,418,1540,11
58,58,26851,2010-07-30,4,7,686,402,300,1388,11
59,59,27545,2010-07-31,5,7,470,396,262,1128,11
