,pos_usr_id,OKOOD,count
0,11025263,795,337
1,11025263,707,4
2,11025263,949,3
3,11025263,331,2
4,11025263,465,2
5,11025263,820,2
6,11025263,694,1
7,11025263,934,1
8,11026086,741,1
9,11026165,784,8
10,11026442,890,38
11,11026442,784,13
12,11028714,669,4
13,11030623,784,24
14,11030623,808,3
15,11030743,297,1
16,11030919,784,1
17,11030951,784,1
18,11032870,784,3
19,11033082,784,2
20,11033554,353,1
21,11035174,349,4
22,11035174,368,2
23,11035174,784,2
24,11035174,795,1
25,11035842,784,18
26,11036601,784,23
27,11036601,198,2
28,11036601,653,1
29,11037380,795,17
30,11038226,897,21
31,11038226,392,2
32,11038380,890,3
33,11038380,728,1
34,11038476,784,1
35,11038935,784,18
36,11038935,727,2
37,11038935,848,2
38,11038935,188,1
39,11038935,625,1
40,11038935,718,1
41,11056052,784,2
42,11056649,784,22
43,11056896,784,1
44,11057417,784,1
45,11057519,245,2
46,11057519,353,1
47,11058002,784,2
48,11058002,929,1
49,11058218,784,42
50,11058218,353,5
51,11059510,784,22
52,11059510,322,10
53,11059510,437,4
54,11059510,251,2
55,11059510,702,2
56,11059510,154,1
57,11059510,353,1
58,11060026,784,4
59,11060151,784,46
60,11060921,784,6
61,11061117,349,8
62,11061117,784,7
63,11061465,784,7
64,11062350,784,1
65,11062501,784,5
66,11063169,784,15
67,11063169,625,2
68,11063169,183,1
69,11063400,784,107
70,11063457,784,8
71,11063457,625,6
72,11063457,303,3
73,11063457,826,3
74,11063457,884,1
75,11063636,784,17
76,11064082,784,2
77,11065525,784,6
78,11065525,478,1
79,11065525,625,1
80,11065696,784,18
81,11065696,112,2
82,11065696,198,2
83,11065696,245,1
84,11065696,868,1
85,11065818,784,10
86,11067123,784,1
87,11067284,452,6
88,11067284,784,2
89,11067510,784,1
90,11067984,784,2
91,11068599,784,18
92,11069051,784,24
93,11069051,790,3
94,11069826,795,1
95,11070131,784,10
96,11070627,784,20
97,11070627,653,6
98,11070627,741,6
99,11070627,304,4
100,11072513,446,7
101,11072743,794,12
102,11072743,795,10
103,11072743,861,4
104,11072743,234,1
105,11072743,784,1
106,11073185,371,40
107,11073185,183,33
108,11073185,674,21
109,11073185,639,12
110,11073185,520,6
111,11073185,175,5
112,11073185,518,5
113,11073185,784,4
114,11073185,907,3
115,11073185,483,2
116,11073185,452,1
117,11073185,552,1
118,11073185,680,1
119,11073185,776,1
120,11074098,784,14
121,11074344,666,1
122,11074591,663,3
123,11075566,784,8
124,11075566,446,2
125,11075657,795,2
126,11075752,674,4
127,11075752,929,4
128,11075752,183,2
129,11075752,784,1
130,11076191,245,15
131,11076191,353,7
132,11076191,784,2
133,11076191,887,2
134,11076670,175,21
135,11076670,784,7
136,11076670,403,5
137,11076670,195,2
138,11076670,728,1
139,11076895,784,6
140,11076895,478,2
141,11076895,195,1
142,11076895,680,1
143,11077178,784,4
144,11077339,653,5
145,11077339,784,4
146,11077677,784,1
147,11077860,260,4
148,11077860,784,1
149,11078020,784,2
150,11079120,784,6
