,OKOOD,counts
0,784,1424
1,890,141
2,795,93
3,625,89
4,198,71
5,353,44
6,511,37
7,653,32
8,887,29
9,727,28
10,245,25
11,349,23
12,251,21
13,183,21
14,295,21
15,322,20
16,663,19
17,851,17
18,674,16
19,794,15
20,159,14
21,504,13
22,272,13
23,735,13
24,513,13
25,520,12
26,919,12
27,562,12
28,897,12
29,478,12
30,718,12
31,949,11
32,636,11
33,213,11
34,550,11
35,317,10
36,848,10
37,297,10
38,802,10
39,195,9
40,790,9
41,566,9
42,446,9
43,337,9
44,580,9
45,270,8
46,188,8
47,528,8
48,900,8
49,203,8
50,831,8
51,518,8
52,929,7
53,565,7
54,331,7
55,363,7
56,248,7
57,611,7
58,301,7
59,721,7
60,884,7
61,234,7
62,926,6
63,437,6
64,835,6
65,170,6
66,154,6
67,918,6
68,578,6
69,669,6
70,392,6
71,807,5
72,634,5
73,140,5
74,617,5
75,181,5
76,863,5
77,292,5
78,383,5
79,786,5
80,758,5
81,149,4
82,660,4
83,452,4
84,854,4
85,285,4
86,304,4
87,112,4
88,892,4
89,605,4
90,190,4
91,728,4
92,403,4
93,776,4
94,325,4
95,694,4
96,440,4
97,639,4
98,616,4
99,309,4
100,651,3
101,662,3
102,164,3
103,592,3
104,568,3
105,770,3
106,345,3
107,411,3
108,483,3
109,773,3
110,666,3
111,680,3
112,552,3
113,907,3
114,249,3
115,902,3
116,856,3
117,872,3
118,371,3
119,861,3
120,730,3
121,826,3
122,600,3
123,296,3
124,741,3
125,843,2
126,385,2
127,449,2
128,689,2
129,208,2
130,868,2
131,175,2
132,808,2
133,354,2
134,282,2
135,820,2
136,185,2
137,697,2
138,654,2
139,432,2
140,751,2
141,797,2
142,126,2
143,767,2
144,240,2
145,314,2
146,874,2
147,420,2
148,320,2
149,608,2
150,858,1
151,707,1
152,224,1
153,134,1
154,620,1
155,915,1
156,342,1
157,360,1
158,122,1
159,303,1
160,710,1
161,229,1
162,702,1
163,934,1
164,105,1
165,724,1
166,779,1
167,570,1
168,260,1
169,373,1
170,684,1
171,257,1
172,381,1
173,576,1
174,465,1
175,879,1
176,395,1
177,368,1
178,192,1
179,328,1
180,715,1
181,375,1
182,485,1
183,289,1
