,OKOOD,counts
0,784,1996
1,795,224
2,625,219
3,890,142
4,887,135
5,349,114
6,353,103
7,511,59
8,198,56
9,213,55
10,183,49
11,272,47
12,653,46
13,270,43
14,195,37
15,897,36
16,478,35
17,245,35
18,550,33
19,848,33
20,663,33
21,392,33
22,636,33
23,674,30
24,295,29
25,520,28
26,504,25
27,721,25
28,851,24
29,403,24
30,322,24
31,807,23
32,437,22
33,727,22
34,159,21
35,188,20
36,446,20
37,562,19
38,854,19
39,301,18
40,126,18
41,831,18
42,483,18
43,918,18
44,251,18
45,175,17
46,949,17
47,919,17
48,718,17
49,884,17
50,224,16
51,371,16
52,485,15
53,368,15
54,758,14
55,892,14
56,580,14
57,802,14
58,794,14
59,634,14
60,826,14
61,190,13
62,592,13
63,902,13
64,513,12
65,863,12
66,468,11
67,297,11
68,248,11
69,565,11
70,835,10
71,730,10
72,568,10
73,229,10
74,735,10
75,149,10
76,724,9
77,728,9
78,317,9
79,639,9
80,808,9
81,234,9
82,907,9
83,576,9
84,872,9
85,879,9
86,689,9
87,140,9
88,331,9
89,934,9
90,790,9
91,770,8
92,383,8
93,820,8
94,669,8
95,797,8
96,363,8
97,570,8
98,528,8
99,611,8
100,858,7
101,203,7
102,707,7
103,303,7
104,282,7
105,861,7
106,122,7
107,786,7
108,337,7
109,328,7
110,702,7
111,143,6
112,112,6
113,694,6
114,856,6
115,900,6
116,629,6
117,320,6
118,617,6
119,600,6
120,465,6
121,240,6
122,926,6
123,710,6
124,345,6
125,385,5
126,452,5
127,608,5
128,915,5
129,440,5
130,943,5
131,296,5
132,666,5
133,309,5
134,620,5
135,779,4
136,381,4
137,616,4
138,432,4
139,756,4
140,605,4
141,304,4
142,578,4
143,292,4
144,208,4
145,154,4
146,386,4
147,134,4
148,582,4
149,518,3
150,929,3
151,342,3
152,874,3
153,547,3
154,680,3
155,654,3
156,498,3
157,566,3
158,662,3
159,741,3
160,843,3
161,170,3
162,117,3
163,354,3
164,314,2
165,776,2
166,767,2
167,181,2
168,260,2
169,411,2
170,697,2
171,751,2
172,552,2
173,257,2
174,773,2
175,420,2
176,289,2
177,810,2
178,285,2
179,164,2
180,325,2
181,375,2
182,277,2
183,373,2
184,389,2
185,651,2
186,105,2
187,185,1
188,645,1
189,454,1
190,449,1
191,460,1
192,660,1
193,473,1
194,357,1
195,288,1
196,684,1
197,715,1
198,531,1
199,249,1
200,865,1
201,334,1
202,493,1
203,323,1
204,360,1
