,OKOOD,counts
0,784,1526
1,890,175
2,625,124
3,353,83
4,795,71
5,198,52
6,887,48
7,213,38
8,392,36
9,848,32
10,349,29
11,511,28
12,504,25
13,727,20
14,297,20
15,653,20
16,562,19
17,520,19
18,301,18
19,272,16
20,851,14
21,188,14
22,718,14
23,884,13
24,295,13
25,149,13
26,195,11
27,478,11
28,183,11
29,580,10
30,437,10
31,322,10
32,730,9
33,897,9
34,270,9
35,728,9
36,159,9
37,550,8
38,663,8
39,446,8
40,190,8
41,363,6
42,600,6
43,245,6
44,251,6
45,919,5
46,949,5
47,513,5
48,383,5
49,565,5
50,934,5
51,807,4
52,794,4
53,721,4
54,518,4
55,403,4
56,465,4
57,735,4
58,170,3
59,669,3
60,485,3
61,592,3
62,694,3
63,674,3
64,831,3
65,902,3
66,872,3
67,229,3
68,568,3
69,331,3
70,892,3
71,154,3
72,770,3
73,802,3
74,282,3
75,808,3
76,337,3
77,636,3
78,854,3
79,858,3
80,531,2
81,758,2
82,134,2
83,608,2
84,296,2
85,126,2
86,616,2
87,790,2
88,578,2
89,203,2
90,826,2
91,140,2
92,776,2
93,680,2
94,468,2
95,684,2
96,666,2
97,645,2
98,741,2
99,868,2
100,317,2
101,915,2
102,629,2
103,304,1
104,328,1
105,248,1
106,552,1
107,234,1
108,715,1
109,710,1
110,411,1
111,224,1
112,856,1
113,900,1
114,325,1
115,861,1
116,582,1
117,611,1
118,576,1
119,292,1
120,440,1
121,547,1
122,566,1
123,756,1
124,820,1
125,918,1
126,943,1
127,929,1
128,345,1
129,879,1
130,724,1
131,473,1
132,460,1
133,385,1
134,432,1
135,907,1
136,707,1
137,373,1
138,863,1
139,483,1
140,805,1
141,309,1
142,634,1
143,368,1
144,654,1
145,528,1
