,site_id,counts,Unnamed: 0,FID,name,lon,lat,ONIMI,OKOOD,MNIMI,MKOOD,lau2,lon_cntr,lat_cntr
0,230,2282,602,601,KINGA,24.74440556,59.43759444,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
1,743,2044,759,758,VASAD,24.77026944,59.44360556,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
2,186,1387,610,609,KARJA,24.7465,59.43668889,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
3,318,1172,860,859,LENNU,24.80277778,59.41749444,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
4,13,1097,855,854,AIRPO,24.79862222,59.41610833,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
5,31,1050,667,666,ARIKE,24.74361389,59.43444167,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
6,124,906,717,716,HRX,24.741225,59.44863056,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
7,122,886,618,617,HOTAL,24.73194722,59.43533056,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
8,579,883,758,757,SADAM,24.75953056,59.44340556,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
9,502,825,736,735,POSTI,24.75610833,59.43776944,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
10,794,788,743,742,WWPAS,24.75058056,59.43719167,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
11,831,725,655,654,KAKSI,24.76083056,59.43305556,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
12,773,719,613,612,VIRU,24.74839167,59.4369,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
13,516,608,629,628,PUSPA,24.8237,59.46486389,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
14,81,540,818,817,EPOST,24.79314167,59.43023889,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
15,287,480,900,899,KURTF,22.48588611,58.25466389,Kuressaare linn,349,Saare maakond,74,349,22.4901813122,58.2484865923
16,958,459,746,745,MPLAZ,24.75388889,59.4375,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
17,632,451,677,676,SYSTA,24.66439444,59.45763889,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
18,617,430,738,737,SOPRU,24.68560833,59.39880556,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
19,270,425,834,833,KPLAZ,24.74610556,59.43233333,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
20,430,414,785,784,OLYMP,24.75776944,59.42999444,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
21,910,406,919,918,SOOLA,26.73054722,58.37805556,Tartu linn,795,Tartu maakond,78,795,26.728427209,58.3701665188
22,562,405,342,341,ROHUN,24.81084444,59.55999722,Viimsi vald,890,Harju maakond,37,890,24.7892923114,59.5411908659
23,95,403,917,916,FORTU,26.73054722,58.38027222,Tartu linn,795,Tartu maakond,78,795,26.728427209,58.3701665188
24,709,382,740,739,UJULA,24.75111389,59.43971944,Tallinna linn,784,Harju maakond,37,784,24.7436642049,59.424938231
