,site_id,name,lon,lat,pos_usr_id,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,June,July,August,September,fox,bear,wolf,count
0,622,0,0,0,0,39,26,18,29,35,18,33,37,75,53,33,180,12,6,623
1,318,0,0,0,0,119,233,125,168,194,146,187,84,517,495,76,517,473,182,319
4,304,0,0,0,0,60,39,42,47,82,52,47,98,148,122,1,124,182,63,305
7,31,0,0,0,0,114,141,164,145,142,175,169,45,364,617,24,207,363,480,32
13,409,0,0,0,0,30,30,32,30,46,99,44,50,132,124,5,18,207,86,410
14,716,0,0,0,0,54,44,48,53,55,37,31,44,120,158,0,82,132,108,717
23,679,0,0,0,0,14,11,11,27,9,17,19,12,29,65,2,47,25,36,680
29,516,0,0,0,0,67,115,101,89,113,68,55,10,174,424,0,287,188,133,517
35,1008,0,0,0,0,13,32,34,38,20,23,29,13,75,78,23,36,53,100,1009
43,773,0,0,0,0,104,120,80,81,127,125,82,35,267,415,2,153,127,439,774
44,794,0,0,0,0,123,126,122,66,92,145,114,24,285,448,31,145,339,304,795
53,13,0,0,0,0,86,186,155,203,143,147,177,21,474,554,48,342,535,220,14
69,186,0,0,0,0,117,232,226,166,199,222,225,70,452,860,5,223,510,654,187
87,22,0,0,0,0,8,8,4,2,10,0,2,29,0,5,0,33,1,0,23
88,76,0,0,0,0,23,32,22,33,71,58,24,13,112,129,9,97,131,35,77
95,862,0,0,0,0,32,44,69,57,53,71,45,35,126,205,5,53,164,154,863
97,191,0,0,0,0,10,20,13,15,13,21,13,38,45,22,0,21,23,61,192
108,878,0,0,0,0,6,15,11,9,16,10,10,5,31,35,6,50,14,13,879
112,270,0,0,0,0,35,94,70,56,67,67,36,5,184,223,13,63,158,204,271
116,252,0,0,0,0,3,1,2,2,2,7,2,4,9,6,0,13,3,3,253
120,423,0,0,0,0,61,45,34,37,34,53,47,9,76,218,8,95,66,150,424
122,759,0,0,0,0,11,23,29,16,20,16,6,4,61,56,0,81,14,26,760
131,502,0,0,0,0,98,152,139,117,114,91,114,21,317,478,9,153,247,425,503
140,949,0,0,0,0,51,49,27,31,28,31,45,49,88,123,2,101,42,119,950
143,445,0,0,0,0,41,58,40,56,50,41,60,9,140,195,2,111,112,123,446
144,242,0,0,0,0,18,44,32,46,24,45,23,1,126,102,3,122,32,78,243
145,230,0,0,0,0,390,373,341,263,304,305,306,117,906,1245,14,670,591,1021,231
174,579,0,0,0,0,151,160,134,111,93,100,134,14,442,425,2,272,338,273,580
176,55,0,0,0,0,10,14,18,9,10,8,9,4,52,21,1,36,17,25,56
177,78,0,0,0,0,5,7,4,3,6,2,0,3,13,11,0,6,10,11,79
189,414,0,0,0,0,50,35,61,53,22,58,22,5,88,187,21,108,117,76,415
196,100,0,0,0,0,13,18,5,2,5,6,8,19,20,18,0,29,19,9,101
202,488,0,0,0,0,19,8,12,17,8,13,7,6,15,62,1,63,9,12,489
207,442,0,0,0,0,7,12,1,0,5,3,5,5,13,15,0,27,3,3,443
210,281,0,0,0,0,4,2,4,3,2,1,4,8,7,5,0,6,11,3,282
219,698,0,0,0,0,23,31,22,13,20,10,10,5,107,17,0,76,14,39,699
220,208,0,0,0,0,16,26,14,8,22,13,18,1,48,56,12,32,16,69,209
222,755,0,0,0,0,0,10,3,4,12,2,1,9,18,5,0,15,17,0,756
226,169,0,0,0,0,19,21,37,25,20,10,11,3,28,71,41,100,27,16,170
227,628,0,0,0,0,9,7,23,16,14,8,10,2,32,53,0,38,32,17,629
230,393,0,0,0,0,23,41,92,63,40,20,5,3,68,210,3,173,53,58,394
