,month,weekday,count,country
0,6,0,118,fox
1,6,1,168,fox
2,6,2,192,fox
3,6,3,35,fox
4,6,4,63,fox
5,6,5,87,fox
6,6,6,97,fox
7,7,0,1467,fox
8,7,1,1291,fox
9,7,2,1323,fox
10,7,3,1421,fox
11,7,4,1613,fox
12,7,5,1229,fox
13,7,6,950,fox
14,8,0,1232,fox
15,8,1,1364,fox
16,8,2,1374,fox
17,8,3,1474,fox
18,8,4,1247,fox
19,8,5,1108,fox
20,8,6,1168,fox
21,9,0,100,fox
22,9,1,55,fox
23,9,2,163,fox
24,9,3,110,fox
25,9,4,108,fox
26,9,5,84,fox
27,9,6,63,fox
28,6,0,118,bear
29,6,1,168,bear
30,6,2,192,bear
31,6,3,35,bear
32,6,4,63,bear
33,6,5,87,bear
34,6,6,97,bear
35,7,0,1467,bear
36,7,1,1291,bear
37,7,2,1323,bear
38,7,3,1421,bear
39,7,4,1613,bear
40,7,5,1229,bear
41,7,6,950,bear
42,8,0,1232,bear
43,8,1,1364,bear
44,8,2,1374,bear
45,8,3,1474,bear
46,8,4,1247,bear
47,8,5,1108,bear
48,8,6,1168,bear
49,9,0,100,bear
50,9,1,55,bear
51,9,2,163,bear
52,9,3,110,bear
53,9,4,108,bear
54,9,5,84,bear
55,9,6,63,bear
56,6,0,118,wolf
57,6,1,286,wolf
58,6,2,360,wolf
59,6,3,227,wolf
60,6,4,98,wolf
61,6,5,150,wolf
62,6,6,184,wolf
63,7,0,1564,wolf
64,7,1,2758,wolf
65,7,2,2614,wolf
66,7,3,2744,wolf
67,7,4,3034,wolf
68,7,5,2842,wolf
69,7,6,2179,wolf
70,8,0,2182,wolf
71,8,1,2596,wolf
72,8,2,2738,wolf
73,8,3,2848,wolf
74,8,4,2721,wolf
75,8,5,2355,wolf
76,8,6,2276,wolf
77,9,0,1268,wolf
78,9,1,55,wolf
79,9,2,163,wolf
80,9,3,224,wolf
81,9,4,177,wolf
82,9,5,133,wolf
83,9,6,128,wolf
