,OKOOD,count,fox_count,bear_count,wolf_count
0,784,35221,9848,13369,12004
87,890,1171,428,376,367
116,353,628,312,89,227
122,272,166,101,33,32
189,511,903,225,416,262
207,902,33,27,3,3
210,345,29,12,13,4
219,520,201,129,32,40
220,562,126,37,18,71
227,198,669,297,248,124
250,437,87,55,19,13
263,513,315,157,91,67
276,779,103,6,97,0
300,296,124,9,109,6
308,368,53,42,9,2
314,175,62,36,26,0
324,851,320,100,157,63
436,684,32,1,23,8
438,257,6,2,4,0
456,349,748,333,244,171
501,653,190,84,64,42
514,611,36,19,16,1
530,874,11,7,4,0
542,929,71,15,55,1
545,795,2573,942,865,766
557,625,1807,731,567,509
558,617,19,10,9,0
563,773,58,2,56,0
572,802,182,87,87,8
587,154,58,15,40,3
589,949,181,52,109,20
593,389,26,26,0,0
602,887,575,384,74,117
611,758,88,53,28,7
668,518,51,4,38,9
676,183,467,157,230,80
682,550,176,67,96,13
702,245,214,58,111,45
711,919,264,143,113,8
713,566,83,3,74,6
716,213,187,107,16,64
717,776,11,5,4,2
726,251,101,38,51,12
742,301,238,50,136,52
754,140,60,43,13,4
791,718,84,51,16,17
824,697,14,3,11,0
858,831,94,47,31,16
871,317,95,32,61,2
927,669,139,18,108,13
930,636,169,115,38,16
958,735,155,32,114,9
995,504,107,35,43,29
1022,794,157,108,44,5
1025,663,374,196,160,18
1059,578,35,10,23,2
1061,297,55,14,17,24
1130,915,17,14,1,2
1133,568,51,44,4,3
1139,805,1,0,0,1
1145,728,35,18,6,11
1146,440,46,15,28,3
1199,325,8,3,4,1
1237,354,16,13,3,0
1238,872,51,38,10,3
1265,570,29,25,4,0
1297,149,37,12,5,20
1313,195,144,67,59,18
1318,322,285,135,106,44
1342,248,35,25,9,1
1355,616,23,4,16,3
1369,918,52,37,12,3
1376,478,180,125,40,15
1394,835,89,19,70,0
1501,126,153,58,92,3
1539,159,136,36,85,15
1548,164,8,4,4,0
1554,900,79,11,67,1
1575,730,39,17,4,18
1772,363,104,10,9,85
1858,576,24,13,10,1
1881,295,359,96,202,61
1924,856,15,8,6,1
1954,270,274,123,93,58
2260,674,148,56,86,6
2290,689,50,48,2,0
2343,854,196,143,50,3
2370,208,10,6,4,0
2407,203,233,124,104,5
2414,403,94,79,10,5
2454,383,35,16,11,8
2506,392,226,110,12,104
2638,565,35,15,11,9
2726,483,57,43,13,1
2733,727,240,53,158,29
2783,820,20,15,3,2
2841,943,7,6,0,1
2973,892,48,36,9,3
2977,282,19,13,2,4
3003,634,63,37,24,2
3025,134,19,10,2,7
3074,786,109,24,85,0
3231,485,83,77,1,5
3239,707,58,53,1,4
3318,808,31,21,4,6
3330,897,695,340,123,232
3331,592,40,24,10,6
3376,934,36,24,2,10
3419,188,67,34,13,20
3420,884,73,20,13,40
3451,848,125,57,19,49
3494,143,16,16,0,0
3641,117,18,18,0,0
3810,446,258,52,155,51
3831,907,21,14,6,1
3834,190,65,24,31,10
3855,234,21,11,9,1
3960,702,17,15,2,0
3982,662,6,3,3,0
4015,381,32,6,26,0
4069,639,30,14,16,0
4096,528,40,15,24,1
4099,337,107,44,14,49
4111,432,21,4,16,1
4438,334,1,1,0,0
4585,926,74,14,60,0
4586,660,7,1,6,0
4705,843,7,4,3,0
4792,879,153,151,1,1
4863,468,24,21,0,3
4875,181,18,3,15,0
4889,420,7,5,2,0
4977,608,14,5,7,2
4997,756,7,5,0,2
4999,385,25,17,5,3
5009,620,11,9,2,0
5037,580,77,23,12,42
5054,863,45,20,23,2
5061,304,22,10,11,1
5206,371,88,45,43,0
5604,605,67,6,61,0
5620,770,23,15,4,4
5645,375,10,8,2,0
5655,292,118,7,110,1
5676,240,21,9,12,0
5692,767,4,2,2,0
5810,721,96,68,12,16
5819,224,27,25,1,1
6010,465,49,15,1,33
6071,600,79,27,22,30
6207,342,7,6,1,0
6227,498,15,15,0,0
6347,547,10,4,0,6
6446,331,67,33,28,6
6517,285,8,3,5,0
6543,473,3,2,0,1
6716,303,19,16,3,0
6757,229,35,20,12,3
6775,170,74,9,56,9
6781,826,27,19,5,3
6814,865,1,1,0,0
7045,710,18,14,3,1
7228,360,37,2,35,0
7230,807,72,44,23,5
7565,386,4,4,0,0
7689,112,32,22,10,0
7887,395,4,0,4,0
8250,694,33,21,9,3
10442,741,22,10,10,2
11138,260,7,3,4,0
11402,724,21,19,1,1
11577,314,14,12,2,0
11840,861,26,17,7,2
12307,582,7,4,0,3
12592,651,7,4,3,0
12754,790,254,51,201,2
12895,122,19,18,1,0
13013,552,14,6,5,3
13165,797,21,15,6,0
13523,531,10,4,0,6
13651,868,6,0,4,2
13743,452,16,7,9,0
13852,249,19,1,18,0
14759,460,2,1,0,1
14856,629,13,11,0,2
15756,328,16,9,5,2
15803,320,14,12,2,0
15847,715,3,1,1,1
15904,751,45,3,42,0
17087,680,18,4,12,2
17404,654,9,3,5,1
17767,411,9,3,5,1
18975,666,25,8,9,8
20665,185,16,12,4,0
20977,810,2,2,0,0
21502,858,24,19,1,4
21681,373,5,2,2,1
21793,289,7,6,1,0
25236,454,6,6,0,0
27651,277,5,5,0,0
27803,105,9,4,5,0
28123,309,69,47,21,1
28263,449,3,1,2,0
35118,645,13,1,0,12
39733,288,8,8,0,0
42965,323,1,1,0,0
50944,357,1,1,0,0
54387,493,2,2,0,0
54901,192,1,0,1,0
